Syntax version=4
Mon Jun 24 13:14:02 2019
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		count1	duty1
D:	1254.99	905	950
D:	1256.43	905	950
D:	1257.99	905	950
D:	1259.79	905	950
D:	1261.16	905	1000
D:	1262.41	900	1000
D:	1263.67	900	1000
D:	1265.17	900	1000
D:	1266.51	900	1000
D:	1268.05	900	1000
D:	1269.67	900	1000
D:	1271.44	900	950
D:	1273.22	905	950
D:	1275.29	905	950
D:	1277.57	905	950
D:	1279.73	905	950
D:	1281.60	905	950
D:	1283.70	905	950
D:	1285.62	905	950
D:	1287.19	905	950
D:	1289.31	905	950
D:	1291.77	905	950
D:	1294.17	905	950
D:	1296.29	905	950
D:	1297.99	905	950
D:	1300.15	905	1000
D:	1302.33	900	1000
D:	1303.93	900	1000
D:	1305.43	900	1000
D:	1306.78	900	1000
D:	1308.19	900	1000
D:	1309.51	900	1000
D:	1310.77	900	950
D:	1312.04	905	950
D:	1313.35	905	950
D:	1314.75	905	950
D:	1316.14	905	950
D:	1317.61	905	950
D:	1319.09	905	950
D:	1320.72	905	1000
D:	1322.07	900	1000
D:	1323.44	900	1000
D:	1324.83	900	1000
D:	1326.18	900	1000
D:	1327.72	900	1000
D:	1329.20	900	1000
D:	1330.64	900	1000
D:	1331.95	900	1000
D:	1333.34	900	1000
D:	1334.82	900	1000
D:	1336.39	900	1000
D:	1337.80	900	1000
D:	1339.36	900	1000
D:	1340.74	900	950
D:	1342.22	905	950
D:	1343.91	905	950
D:	1345.54	905	950
D:	1346.91	905	950
D:	1348.16	905	950
D:	1351.23	905	950
D:	1352.58	905	950
D:	1353.85	905	950
D:	1355.14	905	950
D:	1356.40	905	950
D:	1357.99	905	950
D:	1359.76	905	950
D:	1361.43	905	900
D:	1363.52	910	900
D:	1365.86	910	900
D:	1368.05	910	900
D:	1370.47	910	1000
D:	1372.58	900	1000
D:	1374.38	900	1000
D:	1376.74	900	1000
D:	1378.62	900	1000
D:	1380.54	900	950
D:	1382.67	905	950
D:	1384.57	905	950
D:	1386.47	905	950
D:	1388.21	905	950
D:	1389.65	905	950
D:	1390.91	905	950
D:	1392.16	905	950
D:	1393.76	905	950
D:	1395.52	905	950
D:	1397.03	905	950
D:	1398.60	905	950
D:	1400.32	905	950
D:	1402.25	905	950
D:	1404.19	905	950
D:	1406.21	905	950
D:	1408.71	905	950
D:	1413.63	905	950
D:	1415.80	905	950
D:	1417.56	905	950
D:	1419.64	905	950
D:	1421.82	905	950
D:	1423.93	905	950
D:	1426.21	905	950
D:	1427.83	905	950
D:	1429.37	905	950
D:	1430.65	905	950
D:	1432.09	900	1000
D:	1433.39	900	1000
D:	1434.81	900	1000
D:	1436.31	900	1000
D:	1437.91	900	1000
D:	1439.63	900	1000
D:	1441.62	900	1000
D:	1443.91	900	1000
D:	1446.18	900	1000
D:	1448.23	900	1000
D:	1450.32	900	1000
D:	1452.27	900	1000
D:	1454.11	900	1000
D:	1456.23	900	1000
D:	1458.62	900	1000
D:	1460.85	900	1050
D:	1462.80	895	1050
D:	1465.36	895	1050
D:	1467.33	895	1050
D:	1469.04	895	1050
D:	1470.77	895	1000
D:	1472.30	900	1000
D:	1473.79	900	1000
D:	1475.23	900	1000
D:	1476.51	900	1000
D:	1477.76	900	1000
D:	1479.04	900	1000
D:	1480.26	900	1000
D:	1481.63	900	1000
D:	1482.94	900	1000
D:	1484.46	900	1000
D:	1486.01	900	1000
D:	1487.83	900	1000
D:	1489.41	900	1000
D:	1490.97	900	950
D:	1492.72	905	950
D:	1494.82	905	950
D:	1496.93	905	950
D:	1499.14	905	950
D:	1501.36	905	1000
D:	1503.55	900	1000
D:	1505.19	900	1000
D:	1507.33	900	1000
D:	1509.36	900	1000
D:	1511.23	900	950
D:	1512.68	905	950
D:	1514.05	905	950
D:	1515.42	905	950
D:	1516.72	905	950
D:	1518.13	905	950
D:	1519.43	905	950
D:	1520.69	905	950
D:	1521.97	905	950
D:	1523.21	905	950
D:	1524.66	905	950
D:	1525.99	905	950
D:	1527.33	905	950
D:	1528.74	905	950
D:	1530.45	905	950
D:	1531.81	905	950
D:	1533.15	905	950
D:	1534.53	905	950
D:	1535.94	905	950
D:	1537.42	905	950
D:	1538.74	905	950
D:	1540.08	905	950
D:	1541.51	905	950
D:	1542.99	905	950
D:	1544.35	905	950
D:	1545.71	905	950
D:	1547.35	905	950
D:	1549.09	905	950
D:	1550.43	905	950
D:	1552.08	900	1000
D:	1553.60	900	1000
D:	1555.08	900	1000
D:	1556.41	900	1000
D:	1557.68	900	1000
D:	1558.96	900	1000
D:	1560.24	900	1000
D:	1561.63	900	950
D:	1562.91	905	950
D:	1564.19	905	950
D:	1565.51	905	950
D:	1567.16	905	950
D:	1568.78	905	950
D:	1570.59	905	1000
D:	1572.34	900	1000
D:	1573.96	900	1000
D:	1575.25	900	1000
D:	1576.67	900	1000
D:	1578.25	900	1000
D:	1580.02	900	1000
D:	1581.38	900	950
D:	1582.85	905	950
D:	1584.22	905	950
D:	1585.98	905	950
D:	1587.29	905	950
D:	1588.63	905	950
D:	1590.01	905	950
D:	1591.28	905	1000
D:	1592.95	900	1000
D:	1594.75	900	1000
D:	1596.29	900	1000
D:	1597.63	900	1000
D:	1599.05	900	1000
D:	1600.32	900	1000
D:	1601.89	910	900
D:	1603.51	910	900
D:	1605.21	910	900
D:	1606.63	910	900
D:	1607.90	910	900
D:	1609.22	910	900
D:	1610.77	910	900
D:	1612.20	900	1000
D:	1613.64	900	1000
D:	1615.05	900	1000
D:	1616.76	900	1000
D:	1618.30	900	1000
D:	1619.68	900	1000
D:	1621.28	900	950
D:	1622.84	905	950
D:	1624.23	905	950
D:	1625.63	905	950
D:	1626.95	905	950
D:	1628.25	905	950
D:	1629.68	905	950
D:	1631.12	905	950
D:	1632.41	905	950
D:	1633.81	905	950
D:	1635.75	905	950
D:	1637.38	905	950
D:	1638.74	905	950
D:	1640.03	905	950
D:	1641.51	905	950
D:	1642.77	905	950
D:	1644.04	905	950
D:	1645.29	905	950
D:	1646.65	905	950
D:	1648.04	905	950
D:	1649.29	905	950
D:	1650.68	905	950
D:	1652.30	905	950
D:	1653.95	905	950
D:	1655.75	905	950
D:	1657.75	905	950
D:	1659.97	905	950
D:	1662.21	905	950
D:	1664.45	905	950
D:	1666.77	905	950
D:	1669.15	905	950
D:	1671.65	905	950
D:	1674.03	905	950
D:	1676.60	905	950
D:	1678.91	905	950
D:	1681.23	905	950
D:	1683.20	905	950
D:	1685.13	905	950
D:	1687.70	905	950
D:	1689.93	905	950
D:	1692.15	900	1000
D:	1694.34	900	1000
D:	1696.59	900	1000
D:	1698.92	900	1000
D:	1701.03	900	1000
D:	1703.17	900	1000
D:	1705.58	900	1000
D:	1707.81	900	1000
D:	1709.88	900	1000
D:	1712.73	900	1000
D:	1715.92	900	1000
D:	1718.74	900	1000
D:	1721.04	900	1000
D:	1723.42	900	1000
D:	1725.59	900	1000
D:	1727.86	900	1000
D:	1730.00	900	1000
D:	1732.10	895	1050
D:	1733.83	895	1050
D:	1736.48	895	1050
D:	1738.63	895	1050
D:	1740.82	895	1000
D:	1743.09	900	1000
D:	1745.35	900	1000
D:	1747.61	900	1000
D:	1749.75	900	1000
D:	1752.03	895	1050
D:	1754.84	895	1050
D:	1757.15	895	1050
D:	1759.86	895	1050
D:	1762.17	895	1050
D:	1764.39	895	1050
D:	1766.55	895	1050
D:	1768.80	895	1050
D:	1771.07	895	1000
D:	1773.29	900	1000
D:	1775.30	900	1000
D:	1777.42	900	1000
